,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
74,446.306642261,1,2250,14,8,4,11,2,34,3,0,0,0,0,0,0,8674,27,5395417383,2191,45,44,76996552514
75,451.959806553,1,2395,14,0,4,11,2,31,0,0,1,0,0,0,0,9050,40,5516006981,2414,42,41,85024268752
76,457.260763443,1,2280,0,0,0,16,0,8,1,0,0,0,0,0,0,8866,25,5402745246,2309,33,35,78946743402
77,462.731299434,1,2243,0,0,0,26,0,8,1,0,0,0,0,0,0,8899,37,5540828529,2217,36,35,82053575394
78,468.729142046,1,2301,0,0,0,21,0,8,1,0,0,0,0,0,0,9527,34,6026004253,2271,32,32,89656073510
79,474.523537573,1,2590,2,0,2,13,2,9,3,0,1,0,0,0,0,10121,36,6212348741,2787,39,40,86934033430
80,480.169881177,1,2459,4,0,2,13,2,22,3,0,0,0,0,0,0,10010,23,6159155866,2659,38,34,87511533758
81,487.400633878,1,3002,4,1,2,3,2,17,0,0,0,0,0,0,0,11467,41,7097719192,2951,42,43,105633688910
82,494.071671656,1,3076,2,0,0,4,0,24,1,0,1,0,0,0,0,10277,32,6254076878,2940,41,43,99581389194
83,501.010676667,1,2788,0,3,0,15,0,11,3,0,1,0,0,0,0,10315,36,6477710320,2653,56,55,103911059178
84,507.176559615,1,2586,0,6,0,14,0,11,0,0,0,0,0,0,0,10919,48,6773037945,2699,50,51,93377888512
85,514.279607932,1,2857,0,0,0,5,0,3,1,0,0,0,0,0,0,10804,41,6689229997,2705,43,43,106713068350
86,520.000422205,1,2329,0,1,0,5,0,3,1,0,1,0,0,0,0,9462,29,5950921925,2530,38,39,84575203302
87,526.619560923,1,2737,3,0,1,20,1,4,2,0,0,0,0,0,0,10156,40,6325059066,2538,44,38,99099227090
88,533.74619722,1,2989,3,0,1,20,1,10,1,0,0,0,0,0,0,12379,42,7937739654,3355,64,61,107610028246
89,540.332443828,1,2737,3,0,1,40,1,10,3,0,1,0,0,0,0,8360,25,5474548138,2330,48,54,97779232714
90,545.296408524,1,2047,0,3,0,49,0,9,2,0,0,0,0,0,0,7723,29,4823942909,2013,38,36,74433804132
91,550.536623256,1,2266,2,0,2,12,2,5,0,0,0,0,0,0,0,9376,28,5578675605,2332,39,44,80122398126
92,557.383032244,1,2881,2,1,2,3,2,5,2,0,0,0,0,0,0,11028,47,7089272015,2928,46,41,102938306014
93,563.172305338,1,2459,19,0,4,9,9,29,1,0,1,0,0,0,0,9653,21,5887315858,2450,29,33,84777812968
94,569.883393192,1,2784,17,6,8,9,7,31,2,0,0,0,0,0,0,10421,54,6549246147,2658,60,61,100770564042
95,576.105970327,1,2493,17,0,8,5,7,31,1,0,0,0,0,0,0,11385,23,6273196636,2693,45,43,92461104690
96,582.576255905,1,2645,0,0,6,5,0,26,4,0,1,0,0,0,0,9008,53,6507122466,2580,38,40,96788942732
97,589.428240738,1,2702,1,1,0,12,2,22,0,0,0,0,0,0,0,10044,43,6181723232,2580,47,47,102445202588
98,594.783677622,1,2249,3,0,0,12,2,35,0,0,0,0,0,0,0,9271,36,5691775943,2327,36,35,80565654014
99,600.70834081,1,2480,3,0,0,9,2,16,1,0,0,0,0,0,0,9530,32,5752451113,2371,33,31,88693533820
